album.msbt
armor.msbt
Fighter00	見習鎧甲
Fighter01	皮鎧甲
Fighter02	青銅鎧甲
Fighter03	鐵鎧甲
Fighter04	銀鎧甲
Fighter05	魔法鎧甲
Fighter06	鋼鐵鎧甲
Fighter07	古代鎧甲
Fighter08	龍鎧甲
Fighter09	黃金鎧甲
Fighter10	神聖鎧甲
Fighter11	英雄鎧甲
Fighter12	傳說鎧甲
Fighter13	超級鎧甲
Fighter14	肌肉鎧甲
Fighter15	愛心鎧甲
Fighter16	蜜蜂鎧甲
Fighter17	圓點鎧甲
Fighter18	破舊鎧甲
Fighter19	毛線鎧甲
Fighter20	探險家鎧甲
Fighter21	貝殼鎧甲
Fighter22	霓虹鎧甲
Fighter23	奇幻鎧甲
Fighter24	武士鎧甲
Fighter25	怪獸鎧甲
Fighter26	銅鎧甲
Fighter27	維京人鎧甲
Fighter28	大烏鴉鎧甲
Fighter29	迷彩鎧甲
Fighter30	太空鎧甲
Wizard00	見習長袍
Wizard01	麻長袍
Wizard02	皮長袍
Wizard03	絲長袍
Wizard04	魔法長袍
Wizard05	精靈長袍
Wizard06	閃亮長袍
Wizard07	黑魔法長袍
Wizard08	大魔法長袍
Wizard09	岩漿長袍
Wizard10	魔法文字長袍
Wizard11	英雄長袍
Wizard12	傳說長袍
Wizard13	超級長袍
Wizard14	肌肉長袍
Wizard15	愛心長袍
Wizard16	羽絨外套長袍
Wizard17	圓點長袍
Wizard18	破舊長袍
Wizard19	毛線長袍
Wizard20	開朗長袍
Wizard21	西裝長袍
Wizard22	拉鍊長袍
Wizard23	交叉愛心長袍
Wizard24	小丑長袍
Wizard25	和服長袍
Wizard26	名人長袍
Wizard27	鍍錫長袍
Wizard28	蛇紋長袍
Wizard29	舞者長袍
Priest00	見習法衣
Priest01	麻法衣
Priest02	皮法衣
Priest03	絲法衣
Priest04	光輝法衣
Priest05	聖者法衣
Priest06	神秘法衣
Priest07	謎樣法衣
Priest08	悟禪法衣
Priest09	神聖法衣
Priest10	審判法衣
Priest11	英雄法衣
Priest12	傳說法衣
Priest13	超級法衣
Priest14	肌肉法衣
Priest15	愛心法衣
Priest16	企鵝法衣
Priest17	圓點法衣
Priest18	破舊法衣
Priest19	毛線法衣
Priest20	平安法衣
Priest21	花邊蕾絲法衣
Priest22	祈禱法衣
Priest23	俄羅斯套娃法衣
Priest24	麵包法衣
Priest25	鐘法衣
Priest26	麥稈法衣
Priest27	玻璃法衣
Priest28	鬼法衣
Priest29	鍍錫法衣
Thief00	見習裝束
Thief01	皮裝束
Thief02	人造毛皮裝束
Thief03	絲裝束
Thief04	石頭裝束
Thief05	游泳裝束
Thief06	海風裝束
Thief07	閃電裝束
Thief08	忍者裝束
Thief09	鋼鐵裝束
Thief10	龐克裝束
Thief11	英雄裝束
Thief12	傳說裝束
Thief13	超級裝束
Thief14	肌肉裝束
Thief15	愛心裝束
Thief16	骷髏裝束
Thief17	圓點裝束
Thief18	破舊裝束
Thief19	毛線裝束
Thief20	怪獸裝束
Thief21	嘻哈裝束
Thief22	阿拉伯裝束
Thief23	小雞裝束
Thief24	高科技裝束
Thief25	冰淇淋裝束
Thief26	王室裝束
Thief27	古代裝束
Thief28	蘑菇裝束
Thief29	戶外裝束
IdolM00	見習裝扮
IdolM01	英雄裝扮
IdolM02	傳說裝扮
IdolM03	超級裝扮
IdolM04	肌肉裝扮
IdolM05	愛心裝扮
IdolM06	閃耀裝扮
IdolM07	圓點裝扮
IdolM08	破舊裝扮
IdolM09	毛線裝扮
IdolM10	王子裝扮
IdolM11	休閒裝扮
IdolM12	野外裝扮
IdolM13	晚禮服裝扮
IdolM14	彩色裝扮
IdolM15	半正式裝扮
IdolF00	見習搭配
IdolF01	英雄搭配
IdolF02	傳說搭配
IdolF03	超級搭配
IdolF04	肌肉搭配
IdolF05	愛心搭配
IdolF06	草莓搭配
IdolF07	圓點搭配
IdolF08	破舊搭配
IdolF09	毛線搭配
IdolF10	學校搭配
